Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Model,Frequency,FrequencyLower,FrequencyUpper,FrequencyUnits,,
189.612,,,seconds,2.37E-09,4.42E-10,4.42E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
190.94,,,seconds,2.05E-09,3.84E-10,3.84E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
192.202,,,seconds,1.85E-09,3.41E-10,3.41E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
193.772,,,seconds,2.19E-09,4.11E-10,4.11E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
195.114,,,seconds,1.78E-09,3.32E-10,3.32E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
196.369,,,seconds,2.35E-09,4.45E-10,4.45E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
197.646,,,seconds,2.24E-09,4.34E-10,4.34E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
198.762,,,seconds,2.40E-09,4.54E-10,4.54E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
199.946,,,seconds,2.33E-09,4.43E-10,4.43E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
201.125,,,seconds,2.50E-09,4.73E-10,4.73E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
202.403,,,seconds,2.20E-09,4.16E-10,4.16E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
203.699,,,seconds,2.26E-09,4.31E-10,4.31E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
205.2,,,seconds,1.65E-09,3.10E-10,3.10E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
206.698,,,seconds,2.04E-09,3.80E-10,3.80E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
208.024,,,seconds,1.88E-09,3.56E-10,3.56E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
209.573,,,seconds,1.76E-09,3.35E-10,3.35E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
211.182,,,seconds,1.67E-09,3.20E-10,3.20E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
212.761,,,seconds,1.88E-09,3.57E-10,3.57E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
214.201,,,seconds,1.94E-09,3.66E-10,3.66E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
215.826,,,seconds,1.49E-09,2.83E-10,2.83E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
217.392,,,seconds,1.72E-09,3.30E-10,3.30E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
219.035,,,seconds,1.86E-09,3.46E-10,3.46E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
220.566,,,seconds,1.90E-09,3.52E-10,3.52E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
222.076,,,seconds,1.67E-09,3.13E-10,3.13E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
223.691,,,seconds,1.58E-09,2.96E-10,2.96E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
225.51,,,seconds,1.82E-09,3.46E-10,3.46E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
227.037,,,seconds,1.74E-09,3.26E-10,3.26E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
