Time,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup,SlopGroup,Include
4448.81,s,5.76e-08,2.32e-09,2.32e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
4480.301,s,5.39e-08,2.24e-09,2.24e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
4511.075,s,5.72e-08,2.31e-09,2.31e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
4519.07,s,5.54e-08,2.22e-09,2.22e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
21633.536,s,5.01e-09,2.65e-10,2.65e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
21642.666,s,5.14e-09,2.68e-10,2.68e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
21670.07,s,4.99e-09,2.62e-10,2.62e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
21679.191,s,4.86e-09,2.55e-10,2.55e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
21688.74,s,5.09e-09,2.61e-10,2.61e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
21697.647,s,5.07e-09,2.75e-10,2.75e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
21706.77,s,5.09e-09,2.71e-10,2.71e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
21715.764,s,5.47e-09,2.76e-10,2.76e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
21734.041,s,5.04e-09,2.56e-10,2.56e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
21743.529,s,5.1e-09,2.64e-10,2.64e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
21752.189,s,4.88e-09,2.61e-10,2.61e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
21770.271,s,4.86e-09,2.55e-10,2.55e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
21779.69,s,5.13e-09,2.6e-10,2.6e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
21798.732,s,5.01e-09,2.54e-10,2.54e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
21807.866,s,5.26e-09,2.72e-10,2.72e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
21816.782,s,5.17e-09,2.66e-10,2.66e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
